data_extracao;codigo;nome;ei_creche_parcial;ei_creche_integral;ei_creche;ei_pre_parcial;ei_pre_integral;ei_pre;ef_ciclos_parcial;ef_ciclos_integral;ef_ciclos;ef_eja;ensino_medio;normal_magisterio;profissionalizante;total
2020-12-01 01:33:04.832;5045;5045 EEI SOMAI                                          ;0;58;58;0;66;66;0;0;0;0;0;0;0;124
2020-12-01 01:33:04.833;5046;5046 IEI NSA SRA DE FÁTIMA NOVO MUNDO                   ;0;64;64;0;48;48;0;0;0;0;0;0;0;112
2020-12-01 01:33:04.835;5048;5048 IEI HELOISA BECKER                                 ;0;38;38;0;40;40;0;0;0;0;0;0;0;78
2020-12-01 01:33:04.836;5049;5049 IEI BRINCANDO DE CIRANDA                           ;0;10;10;0;25;25;0;0;0;0;0;0;0;35
2020-12-01 01:33:04.837;5050;5050 EEI NSA SRA APARECIDA SÃO PEDRO                    ;0;31;31;0;36;36;0;0;0;0;0;0;0;67
2020-12-01 01:33:04.838;5051;5051 EEI TURMA DO BARULHO                               ;0;56;56;0;49;49;0;0;0;0;0;0;0;105
2020-12-01 01:33:04.841;5052;5052 EEI SÃO PEDRO                                      ;0;20;20;0;25;25;0;0;0;0;0;0;0;45
2020-12-01 01:33:04.842;5053;5053 IEI BALÃO MÁGICO                                   ;0;44;44;0;35;35;0;0;0;0;0;0;0;79
2020-12-01 01:33:04.843;5054;5054 EEI CASA DA CRIANÇA ALGODÃO DOCE                   ;0;62;62;0;74;74;0;0;0;0;0;0;0;136
2020-12-01 01:33:04.844;5055;5055 IEI VOVÓ IDA                                       ;0;57;57;0;49;49;0;0;0;0;0;0;0;106
2020-12-01 01:33:04.845;5056;5056 EEI PAINEIRAS                                      ;0;27;27;0;23;23;0;0;0;0;0;0;0;50
2020-12-01 01:33:04.846;5057;5057 EEI CAMPO DA TUCA                                  ;0;53;53;0;67;67;0;0;0;0;0;0;0;120
2020-12-01 01:33:04.848;5058;5058 EEI TOPO GIGIO                                     ;0;67;67;0;89;89;0;0;0;0;0;0;0;156
2020-12-01 01:33:04.849;5059;5059 EEI ACOMUR                                         ;0;38;38;0;42;42;0;0;0;0;0;0;0;80
2020-12-01 01:33:04.850;5060;5060 IEI MURIALDO                                       ;0;51;51;0;51;51;0;0;0;0;0;0;0;102
2020-12-01 01:33:04.851;5061;5061 IEI VÓ BELINHA                                     ;0;64;64;0;47;47;0;0;0;0;0;0;0;111
2020-12-01 01:33:04.857;5062;5062 IEI ESTRELA MAGICA                                 ;0;49;49;0;57;57;0;0;0;0;0;0;0;106
2020-12-01 01:33:04.858;5063;5063 IEI NOSSA SENHORA APARECIDA -VILA PINHAL           ;0;32;32;0;42;42;0;0;0;0;0;0;0;74
2020-12-01 01:33:05.397;5064;5064 EEI RECREIO DA DIVISA                              ;0;13;13;0;60;60;0;0;0;0;0;0;0;73
2020-12-01 01:33:05.398;5065;5065 IEI ARCO IRIS ENCANTADO                            ;0;73;73;0;79;79;0;0;0;0;0;0;0;152
2020-12-01 01:33:05.399;5066;5066 EEI MEU NENE                                       ;0;29;29;0;24;24;0;0;0;0;0;0;0;53
2020-12-01 01:33:05.400;5067;5067 IEI NOSSA SENHORA DA GLORIA                        ;0;48;48;0;46;46;0;0;0;0;0;0;0;94
2020-12-01 01:33:05.402;5069;5069 IEI CRECHE LAR DA CRIANCA                          ;0;10;10;0;32;32;0;0;0;0;0;0;0;42
2020-12-01 01:33:05.403;5070;5070 IEI CENEAMM 1 DE MAIO                              ;0;58;58;0;73;73;0;0;0;0;0;0;0;131
2020-12-01 01:33:05.404;5071;5071 EEI CRIANÇA FELIZ                                  ;0;48;48;0;39;39;0;0;0;0;0;0;0;87
2020-12-01 01:33:05.405;5072;5072 IEI AMAVTRON                                       ;0;65;65;0;58;58;0;0;0;0;0;0;0;123
2020-12-01 01:33:05.409;5073;5073 EEI MATO GROSSO                                    ;0;52;52;0;43;43;0;0;0;0;0;0;0;95
2020-12-01 01:33:05.410;5074;5074 IEI BOA ESPERANÇA                                  ;0;84;84;0;87;87;0;0;0;0;0;0;0;171
2020-12-01 01:33:05.411;5075;5075 IEI MARIA DOLABELLA PORTELA                        ;0;52;52;0;39;39;0;0;0;0;0;0;0;91
2020-12-01 01:33:05.412;5076;5076 EEI DOM ORIONE                                     ;0;58;58;0;88;88;0;0;0;0;0;0;0;146
2020-12-01 01:33:05.413;5077;5077 EEI NOSSA SENHORA DE NAZARÉ-DOM ORIONE             ;0;36;36;0;62;62;0;0;0;0;0;0;0;98
